filename,plate_label,image_path,labeled_at_utc
"ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q1.png",660872,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q1.png",2026-03-01T01:19:28.570398+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q2.png",709189,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q2.png",2026-03-01T01:19:29.323299+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q3.png",832457,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q3.png",2026-03-01T01:19:29.527024+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q4.png",995472,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_49_PM_q4.png",2026-03-01T01:19:29.740558+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q1.png",716495,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q1.png",2026-03-01T01:19:29.985992+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q2.png",273880,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q2.png",2026-03-01T01:19:30.198008+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q3.png",319057,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q3.png",2026-03-01T01:19:30.409900+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q4.png",553286,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_53_PM_q4.png",2026-03-01T01:19:30.587073+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q1.png",897520,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q1.png",2026-03-01T01:19:30.777941+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q2.png",765679,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q2.png",2026-03-01T01:19:30.930562+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q3.png",417325,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q3.png",2026-03-01T01:19:31.106810+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q4.png",590358,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_56_PM_q4.png",2026-03-01T01:19:31.276975+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q1.png",925932,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q1.png",2026-03-01T01:19:31.528955+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q2.png",534660,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q2.png",2026-03-01T01:19:31.701886+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q3.png",139271,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q3.png",2026-03-01T01:19:31.851752+00:00
"ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q4.png",472602,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_51_58_PM_q4.png",2026-03-01T01:19:31.993964+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q1.png",487106,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q1.png",2026-03-01T01:19:32.129663+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q2.png",145287,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q2.png",2026-03-01T01:19:32.276798+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q3.png",910375,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q3.png",2026-03-01T01:19:32.463759+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q4.png",252914,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_05_PM_q4.png",2026-03-01T01:19:32.624889+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q1.png",653382,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q1.png",2026-03-01T01:19:32.749808+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q2.png",3895479,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q2.png",2026-03-01T01:19:32.896059+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q3.png",783164,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q3.png",2026-03-01T01:19:33.008779+00:00
"ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q4.png",463257,"/Users/marshall/Documents/hackathon/gridstorm-polepad-ai/model/images/ChatGPT_Image_Feb_28,_2026,_07_52_08_PM_q4.png",2026-03-01T01:19:33.148912+00:00
